
20; 330; w12;
 370; 400; z3;
370; 30; w10;
 180; 30; z4;
180; 360; w4;
 60; 330; z14;
220; 400; w4;
 180; 330; z13;
220; 400; w3;
 60; 330; z10;
370; 230; w5;
 60; 330; z13;
260; 330; w7;
 260; 400; z13;
100; 400; w5;
 330; 360; z13;
260; 330; w11;
 370; 210; z1;
260; 150; w11;
 220; 180; z3;
290; 180; w11;
 140; 210; z6;
100; 210; w12;
 330; 180; z4;
60; 180; w10;
 100; 180; z7;
180; 180; w4;
 220; 180; z10;
100; 210; w4;
 20; 210; z9;
290; 180; w10;
 140; 210; z6;
290; 30; w8;
 330; 30; z16;
20; 90; w7;
 140; 60; z13;
60; 30; w4;
 140; 60; z9;
100; 60; w3;
 260; 60; z8;
100; 60; w13;
 20; 60; z1;
220; 60; w3;
 100; 30; z15;
140; 90; w5;
 60; 90; z15;
260; 90; w9;
 330; 30; z3;
220; 60; w1;
 180; 90; z13;
100; 60; w9;
 370; 60; z4;
330; 60; w11;
 330; 30; z7;
100; 360; w4;
 220; 30; z13;
290; 30; w9;
 100; 30; z7;
100; 360; w3;
 370; 60; z13;
140; 90; w6;
 290; 90; z14;
180; 30; w2;
 370; 60; z12;
220; 60; w12;
 220; 30; z1;
100; 400; w8;
 370; 400; z14;
370; 230; w3;
 180; 330; z10;
20; 30; w8;
 60; 330; z16;
100; 400; w9;
 20; 400; z3;
370; 230; w5;
 180; 330; z16;
140; 30; w2;
 370; 210; z11;
60; 360; w10;
 180; 30; z5;
140; 30; w7;
 370; 300; z14;
370; 30; w7;
 220; 360; z14;
60; 360; w13;
 290; 30; z1;
100; 400; w2;
 330; 360; z9;
100; 400; w7;
 100; 360; z16;
220; 400; w3;
 370; 300; z12;
290; 360; w1;
 140; 400; z8;
180; 360; w7;
 370; 210; z15;
100; 400; w12;
 180; 330; z5;
260; 30; w7;
 260; 400; z13;
290; 360; w2;
 220; 360; z12;
20; 330; w1;
 60; 330; z8;
20; 30; w6;
 180; 330; z16;
260; 330; w7;
 290; 30; z14;
220; 400; w10;
 140; 400; z5;
20; 330; w13;
 370; 300; z4;
370; 330; w10;
 60; 30; z6;
260; 30; w5;
 180; 330; z15;
100; 210; w6;
 330; 180; z13;
260; 150; w3;
 140; 210; z9;
60; 180; w12;
 330; 180; z5;
20; 90; w10;
 180; 90; z7;
20; 90; w12;
 60; 90; z1;
290; 30; w1;
 60; 90; z8;
330; 60; w10;
 370; 60; z3;
220; 60; w8;
 290; 90; z16;
260; 90; w11;
 20; 60; z1;
100; 360; w7;
 140; 60; z13;
20; 90; w5;
 20; 60; z15;
100; 60; w4;
 370; 60; z13;
290; 30; w2;
 60; 90; z8;
180; 30; w7;
 180; 90; z13;
60; 30; w10;
 290; 90; z5;
180; 360; w1;
 370; 210; z12;
100; 400; w8;
 220; 360; z14;
370; 30; w13;
 290; 30; z5;
60; 360; w1;
 60; 330; z9;
260; 330; w8;
 20; 400; z16;
140; 330; w11;
 20; 400; z7;
260; 330; w8;
 370; 400; z13;
370; 230; w6;
 290; 330; z15;
260; 330; w4;
 370; 400; z9;
370; 330; w13;
 370; 210; z3;
330; 400; w12;
 180; 330; z5;
260; 30; w10;
 60; 330; z3;
260; 30; w8;
 370; 400; z14;
20; 330; w1;
 100; 360; z10;
260; 330; w1;
 100; 360; z13;
330; 400; w13;
 220; 360; z1;
370; 330; w7;
 370; 210; z15;
20; 330; w9;
 140; 400; z3;
20; 330; w2;
 20; 400; z15;
20; 30; w11;
 60; 330; z3;
180; 360; w13;
 370; 210; z4;
260; 330; w9;
 260; 400; z3;
370; 330; w4;
 220; 360; z8;
